DMA (as appears in various data files),"""Master"" DMA",Test
SAVANNAH,Savannah,
Savannah GA,Savannah,
Seattle/Tacoma,Seattle-Tacoma,
Seattle-Tacoma,Seattle-Tacoma,
SEATTLE-TACOMA,Seattle-Tacoma,
Seattle-Tacoma WA,Seattle-Tacoma,
Sherman TX-Ada OK,Sherman-Ada,
Sherman-Ada,Sherman-Ada,
SHERMAN-ADA,Sherman-Ada,
Sherman-Tx/Ada-Ok,Sherman-Ada,
SHREVEPORT,Shreveport LA,
Shreveport LA,Shreveport LA,
Shreveport LA,Shreveport LA,
Sioux City,Sioux City,
SIOUX CITY,Sioux City,
Sioux City IA,Sioux City,
Sioux Falls(Mitchell),Sioux Falls(Mitchell),
SIOUX FALLS(MITCHELL),Sioux Falls(Mitchell),
Sioux Falls(Mitchell) SD,Sioux Falls(Mitchell),
Sioux Falls/Mitchell,Sioux Falls(Mitchell),
South Bend/Elkhart,South Bend-Elkhart,
South Bend-Elkhart,South Bend-Elkhart,
SOUTH BEND-ELKHART,South Bend-Elkhart,
South Bend-Elkhart IN,South Bend-Elkhart,
SPOKANE,Spokane WA,
Spokane WA,Spokane WA,
Spokane WA,Spokane WA,
Springfield MO,Springfield MO,
